Id,Label,Eccentricity,Closeness Centrality,Betweenness Centrality,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Modularity Class,Authority,Hub,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
295,pratirodha,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,158,0.0,0.0,5.781744264857095E-4,152,0.0,0,0.0
296,saMgIta,13.0,7.447619047619048,0.0,1,0,1,1.0,1.0,0.0,87,0.0030395137,0.0030395137,0.001232555324920506,4,0.0,0,0.052462630168364666
297,sAtha,13.0,6.466666666666667,0.0,1,0,1,1.0,1.0,0.0,77,0.0030395137,0.0030395137,0.0020926518289273934,4,0.0,0,0.16192817742649443
298,sthApatya,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,159,0.0,0.0,5.781744264857095E-4,153,0.0,0,0.0
299,Aja,12.0,7.114285714285714,1.0,2,0,2,2.0,2.0,0.0,63,0.0045592706,0.0045592706,0.0025018009868375286,4,0.0,0,0.0905263343128587
300,chAnabIna,13.0,6.466666666666667,0.0,1,0,1,1.0,1.0,0.0,77,0.0030395137,0.0030395137,0.0020926518289273934,4,0.0,0,0.16192817742649443
301,paira,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,160,0.0,0.0,5.781744264857095E-4,154,0.0,0,0.0
302,nishcaya,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,161,0.0,0.0,5.781744264857095E-4,155,0.0,0,0.0
303,purtagAlI,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,162,0.0,0.0,5.781744264857095E-4,156,0.0,0,0.0
304,kolaMbasa,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,163,0.0,0.0,5.781744264857095E-4,157,0.0,0,0.0
305,jala,8.0,5.419047619047619,2727.0,0,3,3,6.0,0.0,6.0,92,0.0060790274,0.0060790274,0.004860620013440766,4,0.0,0,0.023101334038876663
306,bhAgIdAroM,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,164,0.0,0.0,5.781744264857095E-4,158,0.0,0,0.0
307,mAnava,3.0,2.0,0.0,2,0,2,2.0,2.0,0.0,142,0.0045592706,0.0045592706,0.0024674749212007085,1,1.0,1,0.11648773946960812
308,jUna,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,165,0.0,0.0,5.781744264857095E-4,159,0.0,0,0.0
309,machalI,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,166,0.0,0.0,5.781744264857095E-4,160,0.0,0,0.0
310,thiyeTara,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,167,0.0,0.0,5.781744264857095E-4,161,0.0,0,0.0
311,lesa,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,168,0.0,0.0,5.781744264857095E-4,162,0.0,0,0.0
312,pArTI,3.0,2.235294117647059,0.0,1,0,1,1.0,1.0,0.0,142,0.0030395137,0.0030395137,0.0014711226526812286,1,0.0,0,0.061918113107582946
313,khoja,13.0,6.466666666666667,0.0,1,0,1,1.0,1.0,0.0,77,0.0030395137,0.0030395137,0.0020926518289273934,4,0.0,0,0.16192817742649443
314,pratIka,0.0,0.0,0.0,1,1,2,2.0,1.0,1.0,169,0.0030395137,0.0030395137,0.0010104165083847472,163,0.0,0,0.0028517556991628206
315,tamAshe,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,170,0.0,0.0,5.781744264857095E-4,164,0.0,0,0.0
316,DhaMga,13.0,6.466666666666667,0.0,1,0,1,1.0,1.0,0.0,77,0.0030395137,0.0030395137,0.0020926518289273934,4,0.0,0,0.16192817742649443
317,coMca,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,171,0.0,0.0,5.781744264857095E-4,165,0.0,0,0.0
318,nivedana,2.0,1.875,0.0,1,0,1,1.0,1.0,0.0,140,0.0030395137,0.0030395137,0.0023804634586037715,25,0.0,0,0.014819236361676246
319,ummIda,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,172,0.0,0.0,5.781744264857095E-4,166,0.0,0,0.0
320,ujA.Da,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,173,0.0,0.0,5.781744264857095E-4,167,0.0,0,0.0
